GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backendseguridadcalidad,com.duoc.backend,JWTAuthorizationFilter,0,94,1,7,0,33,1,8,0,5
backendseguridadcalidad,com.duoc.backend,UserResponse,21,0,0,0,8,0,4,0,4,0
backendseguridadcalidad,com.duoc.backend,PatientController,0,60,0,2,0,17,0,5,0,4
backendseguridadcalidad,com.duoc.backend,Patient,38,25,0,0,16,10,11,3,11,3
backendseguridadcalidad,com.duoc.backend,InvoiceController,234,9,42,0,58,2,27,2,6,2
backendseguridadcalidad,com.duoc.backend,LoginController,0,31,0,2,0,7,0,3,0,2
backendseguridadcalidad,com.duoc.backend,MyUserDetailsService,14,11,2,0,4,3,2,2,1,2
backendseguridadcalidad,com.duoc.backend,SecuredController,3,3,0,0,1,1,1,1,1,1
backendseguridadcalidad,com.duoc.backend,User,38,3,0,0,17,1,13,1,13,1
backendseguridadcalidad,com.duoc.backend,OpenAPIConfig,0,3,0,0,0,1,0,1,0,1
backendseguridadcalidad,com.duoc.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backendseguridadcalidad,com.duoc.backend,InvoiceLineItemType,0,21,0,0,0,4,0,1,0,1
backendseguridadcalidad,com.duoc.backend,UserRegistrationRequest,24,0,0,0,10,0,7,0,7,0
backendseguridadcalidad,com.duoc.backend,PetController,405,3,86,0,91,1,50,1,7,1
backendseguridadcalidad,com.duoc.backend,JWTAuthenticationConfig,49,3,0,0,16,1,1,1,1,1
backendseguridadcalidad,com.duoc.backend,InvoiceLineItem,89,3,4,0,31,2,18,1,16,1
backendseguridadcalidad,com.duoc.backend,AppointmentController,155,3,14,0,37,1,14,1,7,1
backendseguridadcalidad,com.duoc.backend,WebSecurityConfig,0,70,0,0,0,12,0,4,0,4
backendseguridadcalidad,com.duoc.backend,LoginRequest,11,15,0,0,5,6,3,3,3,3
backendseguridadcalidad,com.duoc.backend,Constants,11,7,0,0,3,2,2,1,2,1
backendseguridadcalidad,com.duoc.backend,UserController,35,3,0,0,7,1,1,1,1,1
backendseguridadcalidad,com.duoc.backend,UserService,192,7,36,0,37,2,24,2,6,2
backendseguridadcalidad,com.duoc.backend,PasswordMigrationRunner,10,11,1,1,3,4,1,3,0,3
backendseguridadcalidad,com.duoc.backend,Pet,90,3,0,0,37,1,19,1,19,1
backendseguridadcalidad,com.duoc.backend,Invoice,111,8,6,0,38,3,22,1,19,1
backendseguridadcalidad,com.duoc.backend,Appointment,60,3,0,0,25,1,13,1,13,1
